Site,City,Country,CountryCode,Province,Street,PostalCode,Subnet,Gateway,DC,FW,Landline,Mobile,Timezone,AnsibleRegion,Entity
GLA,Glasgow,United Kingdom,UK,Scotland,16 Royal Exchange Square,G1 3AG,192.168.141.0/24,192.168.141.253,192.168.141.10,192.168.141.253,+44 141 496 01xx,+44 770 009 4xxx,Europe/London,uk_site,Example Music (Scotland) Ltd
GOT,Gothenburg,Sweden,SE,Västra Götaland,Drottningtorget 5,411 03,192.168.46.0/24,192.168.46.253,192.168.46.10,192.168.46.253,N/A,N/A,Europe/Stockholm,eu_site,Example Music (Sverige) AB
HAL,Halifax,United Kingdom,UK,England,6 Trinity Rd,HX1 2RG,192.168.142.0/24,192.168.142.253,192.168.142.10,192.168.142.253,+44 1422 200 0xxx,+44 7700 904 2xxx,Europe/London,uk_site,Example Music (England) Ltd
HUL,Hull,United Kingdom,UK,England,"A15, Barton-upon-Humber",DN18 5RF,192.168.148.0/24,192.168.148.253,192.168.148.10,192.168.148.253,+44 1482 300 0xxx,+44 7700 902 2xxx,Europe/London,uk_site,Example Music (England) Ltd
KGE,Koge,Denmark,DK,,"Køge Stadion, Ved Stadion 4",4600,192.168.65.0/24,192.168.65.253,192.168.65.10,192.168.65.253,+45 00 000 xxx,+45 2x xxx xxx,Europe/Copenhagen,dk_site,Example Music (Danmark) ApS
KOR,Korsor,Denmark,DK,,Skælskør Banegård,4230,192.168.238.0/24,192.168.238.253,192.168.238.10,192.168.238.253,+45 00 000 xxx,+45 2x xxx xxx,Europe/Copenhagen,dk_site,Example Music (Danmark) ApS
LAX,Los Angeles,United States,US,California,2632 W Pico Blvd,90006,192.168.213.0/24,192.168.213.253,192.168.213.10,192.168.213.253,+1 213 555 xxxx,+1 213 555 xxx,America/Los_Angeles,us_site,Example Music (US) LLC.
LIV,Liverpool,United Kingdom,UK,England,"Building 5, Royal Albert Dock",L3 4AD,192.168.151.0/24,192.168.151.253,192.168.151.10,192.168.151.253,+44 151 496 0xxx,+44 770 090 5xxx,Europe/London,uk_site,Example Music (England) Ltd
LND,London,United Kingdom,UK,England,20 Old Bailey,EC4M 7AN,192.168.20.0/24,192.168.20.253,192.168.20.10,192.168.20.253,+44 207 496 0xxx,+44 770 090 0xxx,Europe/London,uk_site,Example Music (England) Ltd
MCR,Manchester,United Kingdom,UK,England,"Granada Building, Quay Street",M60 9EA,192.168.161.0/24,192.168.161.253,192.168.161.10,192.168.161.253,+44 161 715 xxxx,+44 770 090 6xxx,Europe/London,uk_site,Example Music (England) Ltd
MEL,Melbourne,Australia,AU,Victoria,26 Acland St,3182,192.168.61.0/24,192.168.61.253,192.168.61.10,192.168.61.253,+61 3 9000 0xxx,+61 400 901 2xxx,Australia/Melbourne,apac_site,Example Music (Australia) Pty Ltd
MIA,Miami,United States,US,Florida,"2269 Dan Marino Blvd., South Gate, Miami Gardens",33056,192.168.135.0/24,192.168.135.253,192.168.135.10,192.168.135.253,+1 305 555 xxxx,+1 786 555 xxxx,America/New_York,us_site,Example Music (US) LLC.
MIL,Milan,Italy,IT,Lombardy,"Piazza Armando Diaz, 2",20123,192.168.39.0/24,192.168.39.253,192.168.39.10,192.168.39.253,N/A,N/A,Europe/Rome,eu_site,Example Music (Italia) S.p.a.
MTL,Montreal,Canada,CA,Quebec,895 de la Gauchetiere West,H3B 4G1,192.168.154.0/24,192.168.154.253,192.168.154.10,192.168.154.253,+1 514 400 0xxx,+1 514 900 2xxx,America/Montreal,ca_site,Example Music (Canada) Inc.
MUN,Munich,Germany,DE,Bayern,Spiridon-Louis-Ring 21,80809,192.168.189.0/24,192.168.189.253,192.168.189.10,192.168.189.253,+49 893 555 33xx,+49 893 555 99xx,Europe/Berlin,de_site,Example Music (Deutschland) GmbH
NEW,Newcastle,United Kingdom,UK,England,"The Mitre, Benwell Lane",NE15 6LX,192.168.191.0/24,192.168.191.253,192.168.191.10,192.168.191.253,+44 191 496 0xxx,+44 770 090 9xxx,Europe/London,uk_site,Example Music (England) Ltd
NYB,Nyborg,Denmark,DK,,Storebæltsbroen,5800,192.168.90.0/24,192.168.90.253,192.168.90.10,192.168.90.253,+45 80 400 0xxx,+45 200 900 2xxx,Europe/Copenhagen,dk_site,Example Music (Danmark) ApS
NJC,Camden,United States,US,New Jersey,100 South Broadway,08103,192.168.201.0/24,192.168.201.253,192.168.201.10,192.168.201.253,+1 201 400 0xxx,+1 908 900 2xxx,America/New_York,us_site,Example Music (US) LLC.
NYC,New York City,United States,US,New York,Marriot Square,10048,192.168.212.0/24,192.168.212.253,192.168.212.10,192.168.212.253,+1 212 500 0xxx,+1 917 900 2xxx,America/New_York,us_site,Example Music (US) LLC.
ODE,Odense,Denmark,DK,Fyn,1887 Ove Sprogøe plads,5000,192.168.126.0/24,192.168.126.253,192.168.126.10,192.168.126.253,+45 00 000 xxx,+45 2x xxx xxx,Europe/Copenhagen,dk_site,Example Music (Danmark) ApS
OSL,Oslo,Norway,NO,Oslo,Jernbanetorget 1,0154,192.168.47.0/24,192.168.47.253,192.168.47.10,192.168.47.253,N/A,N/A,Europe/Oslo,eu_site,Example Music (Norge) ASA
PER,Perth,United Kingdom,UK,Scotland,Scone Palace,PH2 6BD,192.168.173.0/24,192.168.173.253,192.168.173.10,192.168.173.253,+44 173 849 60xx,+44 770 0173 0xx,Europe/London,uk_site,Example Music (Scotland) Ltd
SEA,Seattle,United States,US,Washington,400 Broad St,98109,192.168.206.0/24,192.168.206.253,192.168.206.10,192.168.206.253,+1 206 555 xxxx,+1 425 555 xxxx,America/Los_Angeles,us_site,Example Music (US) LLC.
SFO,San Francisco,United States,US,California,Pan American Building,94128,192.168.145.0/24,192.168.145.253,192.168.145.10,192.168.145.253,+1 415 555 xxxx,+1 628 555 xxxx,America/Los_Angeles,us_site,Example Music (US) LLC.
SHE,Sheffield,United Kingdom,UK,England,"Museum Building, Darnall Road, Darnall",S9 5AN,192.168.114.0/24,192.168.114.253,192.168.114.10,192.168.114.253,+44 114 250 0xxx,+44 7700 905 2xxx,Europe/London,uk_site,Example Music (England) Ltd
SYD,Sydney,Australia,AU,New South Wales,3 Cumberland Street,2000,192.168.29.0/24,192.168.29.253,192.168.29.10,192.168.29.253,+61 2 9000 0xxx,+61 400 900 2xxx,Australia/Sydney,apac_site,Example Music (Australia) Pty Ltd
TOR,Toronto,Canada,CA,Ontario,290 Bremner Blvd,M5V 3L9,192.168.146.0/24,192.168.146.253,192.168.146.10,192.168.146.253,+1 416 555 xxxx,+1 647 555 xxxx,America/Toronto,ca_site,Example Music (Canada) Inc.
VIE,Vienna,Austria,AT,,1010 Michaelerplatz,1010,192.168.78.0/24,192.168.78.253,192.168.78.10,192.168.78.253,+43 800 078 0xx,+43 664 665 xxx,Europe/Vienna,eu_site,Example Music (Osterreich) GmbH
VRK,VRack,Global,N/A,,2 Rue Kellermann,59100,192.168.139.0/24,192.168.139.254,192.168.139.10,192.168.139.253,N/A,N/A,UTC,cloud_site,Example Music Limited
