Type,Octet,Multi,Notes
DHCP,183,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,184,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,185,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,186,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,187,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,188,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,189,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,190,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,191,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,192,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,193,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,194,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,195,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,196,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,197,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,198,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,199,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,200,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,201,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,202,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,203,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,204,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,205,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,206,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,207,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,208,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,209,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,210,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,211,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,212,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,213,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,214,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,215,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,216,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,217,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,218,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,219,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,220,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,221,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,222,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,223,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,224,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,225,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,226,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,227,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,228,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,229,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,230,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,231,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,232,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,233,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,234,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,235,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,236,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,237,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,238,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,239,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,240,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,241,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,242,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,243,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,244,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,245,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
DHCP,246,yes,"DHCP pool (dnsmasq dhcp-range on every site firewall, .150-.250 -- see firewallme.sh DHCP_START/DHCP_END, 00_preflight_1_derive.yml fw_dhcp_start/fw_dhcp_end). Added 2026-09-04 so suggest_free_ip.py excludes it automatically instead of by hand."
