Site,Type,Number,HostOctet,OS,ConnectionType,Managed,Notes,SubnetSite,Legacy
LIV,MAC,1,,macOS,ssh,,iMac DISABLED,,no
LIV,RDR,2,,,ssh,,HID Signo badge reader,,yes
LIV,BPS,1,,,http,,Badge programming workstation,,yes
NEW,SWI,1,250,TP-Link JetStream,snmp,,Access switch,,yes
NEW,SRV,1,,Windows Server 2022,ssh,,File/print server,,yes
NEW,WKS,99,,Windows 11,winrm,,LAPS password expired,,yes
COV,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge no server infra,,yes
CPH,CLK,1,18,Meinberg LANTIME M300,http,,NTP clock,,yes
CPH,TVS,1,17,Bella Kronik 42X,http,,Display,,yes
CPH,SWI,1,250,TP-Link JetStream,snmp,,Office switch,,yes
CPH,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes
ODE,FWL,1,254,Cisco ASA 5506-X,ssh,,Edge firewall,,yes
ODE,MUS,1,60,,none,,Jukebox,,yes
ODE,MAC,1,,macOS Tahoe,ssh,,iMac,,yes
ODE,MBP,2,,macOS,ssh,,MacBook Pro,,yes
KGE,PRN,1,,HP LaserJet MFP M528,snmp,,Printer,,yes
FAX,FWL,1,254,Cisco ISR 4331,ssh,,"WAN edge -- vRACK WAN IP at 192.168.139.246 per standard convention, confirmed",,no
BON,SWI,1,250,Cisco Catalyst 2960X,snmp,,Office switch,,yes
BON,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes
BON,LAP,1,,Windows 11,winrm,,ThinkPad DISABLED,,no
BON,WKS,1,,Windows 11,winrm,,Finance workstation,,yes
BON,LAP,2,,Windows 11,winrm,,Finance laptop,,yes
BON,VCU,1,,Poly Studio X70,http,,Boardroom video conferencing,,yes
BON,CAM,1,,Axis P3245-LVE,http,,CCTV camera,,no
BON,TVS,1,,Samsung 65in,http,,Display,,yes
BRD,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes
BRD,SRV,1,,Windows Server 2019,ssh,,Legacy application server,,yes
BRD,NIX,1,,Debian 12,ssh,,Debian server,,no
MUN,SWI,1,250,Cisco Catalyst 9200,snmp,,Access switch,,yes
MUN,WKS,1,,Windows 11,winrm,,Hot desk workstation,,yes
MUN,LAP,1,,Windows 11,winrm,,Pool laptop,,yes
MUN,LAP,2,,Windows 11,winrm,,LAPS expired,,yes
BRK,DON,1,60,VxWorks,http,,Donut vending,,yes
BRK,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes
BRK,LAP,1,,Windows 11,winrm,,Tour laptop,,yes
BRK,VND,1,,XPe,none,,Vending machine,,no
LAX,FWL,1,254,Palo Alto PAN-OS 10.x,ssh,,VPN gateway,,yes
LAX,SRV,1,20,Rocky Linux 9.x,ssh,,Local services DB,,yes
LAX,MUS,1,70,,none,,Synth,,yes
LAX,MUS,2,71,,none,,Drum machine,,yes
LAX,MUS,3,72,,none,,Fairlight CMI,,yes
LAX,AST,1,73,TOS 1.04,none,,Atari ST,,no
LAX,PAY,1,74,,none,,Payphone,,yes
LAX,LCD,1,75,NEC PlasmaSync,http,,Status wallboard,,yes
LAX,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch,,yes
LAX,SWI,2,251,Cisco Catalyst 2960,snmp,,Access switch,,yes
LAX,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes
LAX,MBP,1,,macOS,ssh,,MacBook Pro,,yes
LAX,TAB,1,,iPadOS,winrm,,iPad,,yes
LAX,PHN,1,,Android,http,,Phone,,yes
MIA,COF,1,60,VxWorks,http,,Coffee machine,,yes
MIA,LAP,1,,macOS Sonoma,winrm,,MacBook,,yes
SYD,FWL,1,254,FortiGate 7.x,ssh,,Site firewall,,yes
SYD,SRV,1,20,Windows Server 2022,ssh,,Local infra server,,yes
SYD,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch,,yes
SYD,SWI,2,251,Cisco Catalyst 2960,snmp,,Access switch,,yes
SYD,MBP,1,,macOS,ssh,,MacBook Pro,,yes
SYD,WKS,1,,Windows 11,winrm,,Workstation,,yes
SYD,PHN,1,,Android,http,,Phone,,yes
SYD,TAB,1,,iPadOS,winrm,,iPad,,yes
SYD,LCD,1,,,http,,LG Signage wallboard,,yes
SYD,PRN,1,,Brother,snmp,,Laser printer,,yes
SYD,CAM,1,,Hikvision,http,,Camera,,yes
SYD,CAM,2,,Hikvision,http,,Camera reception,,no
SYD,COF,1,,,http,,Coffee machine,,yes
MEL,FWL,1,254,FortiGate 7.x,ssh,,Site firewall,,yes
MEL,SRV,1,20,Windows Server 2022,ssh,,Local file and print server,,yes
MEL,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch,,yes
MEL,SWI,2,251,Cisco Catalyst 2960,snmp,,Access switch,,yes
MEL,MBP,1,,macOS,ssh,,MacBook Pro,,yes
MEL,WKS,1,,Windows 11,winrm,,Workstation,,yes
MEL,PHN,1,,iOS,http,,Phone,,yes
MEL,TAB,1,,iPadOS,winrm,,iPad,,yes
MEL,LCD,1,,Samsung,http,,Signage display,,yes
MEL,PRN,1,,HP,snmp,,LaserJet printer,,yes
MEL,NAS,1,,Synology DSM 7.x,ssh,,NAS,,yes
AKL,FWL,1,254,FortiGate 7.x,ssh,,Site firewall,,yes
AKL,SRV,1,20,Windows Server 2022,ssh,,Local server,,yes
AKL,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch,,yes
AKL,SWI,2,251,Cisco Catalyst 2960,snmp,,Access switch,,yes
AKL,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes
AKL,WKS,1,,Windows 11,winrm,,Workstation,,yes
AKL,MBP,1,,macOS,ssh,,MacBook Pro,,yes
AKL,PHN,1,,Android,http,,Phone,,yes
AKL,TAB,1,,iPadOS,winrm,,iPad,,yes
AKL,LCD,1,,Samsung,http,,Signage display,,yes
AKL,PRN,1,,HP,snmp,,LaserJet printer,,yes
AKL,CAM,1,,Axis,http,,Camera,,yes
AKL,COF,1,,,http,,Coffee machine,,yes
CLD,UFC,1,82,Debian trixie,snmp,,UniFi Network Controller -- manages WAPs across the estate; no physical WiFi at CLD itself (hub-based management pattern),,no
TOR,DCR,28,,Windows Server 2003,,no,"Undocumented legacy AD install found on site, no-one on record knew it existed -- running on a Dell PowerEdge 1950, no iDRAC/out-of-band card at all (real problem 3,000 miles from Falkirk). Not in benarbejde/ad_computers.json (the TDF-era AD export) -- confirmed real by Robert directly, not from that export. Slated for full replacement, not just decommission. HostOctet/ConnectionType genuinely unknown -- needs on-site discovery before this can be more than a placeholder row.",,yes
