Code,Name,Category,ConnectionMethod,Emoji,DNSAlias,Notes
RDR,Reader — badge reader,Endpoints,ssh,🔐,,"Standard slot .21 (added 2026-07-20). Real devices at FAL/LIV before the standard slot existed (FAL still at its original .16, not yet migrated). Physical HID Signo hardware, not a Proxmox VM — was previously conflated with Rudder under the same RDR code, now split (see RUD above)"
RRY,Rudder Relay,Servers / Compute / Management,ssh,🔁,,"Not yet in use anywhere in devices.csv — planned/future role, listed for when it appears"
UFC,UniFi Network Controller (WiFi mgmt),Servers / Compute / Management,snmp,🎛️,,CLD-only — manages every site's WAPs; CLD has no physical WiFi itself
TMP,Temporary/bootstrap-only provisioning server,Servers / Compute / Management,none,📦,,"VRK/FRD only — real devices (192.168.139.50, 172.16.124.1) via the devices.csv-exception path. Deliberately NOT given a formal EXA<ROLE><SITE><NNN> hostname or DNS record (2026-07-21, Robert: these are bootstrap-only helpers, not real managed nodes -- referenced by IP only, e.g. via benarbejde/begyndelse.json). NOT a per-site standard slot either (was PRV, retired as a standard slot 2026-07-19 — see README.md's Addressing table); ConnectionType explicitly ""none"" in devices.csv (a plain HTTP file server, not SSH-managed)"
TAR,Tape archive,Servers / Compute / Management,telnet,💽,,
WKS,Workstation,Endpoints,winrm,🖥️,,Standard slot .101 (example)
LAP,Laptop,Endpoints,winrm,💻,,Standard slot .102 (example). Same symbol as MBP
MBP,MacBook Pro,Endpoints,ssh,💻,,Same symbol as LAP
MAC,Apple/iMac,Endpoints,ssh,🍎,,"Generic red-apple emoji, not Apple Inc.'s trademarked logo"
NIX,MIDI archive (*nix-adjacent),Endpoints,ssh,🐧,,
TAB,Tablet,Endpoints,winrm,📱,,
SUR,Microsoft Surface,Endpoints,winrm,🖊️,,Stylus — Surface devices are known for pen input
PHN,Office/desk phone,Endpoints,http,📞,,Distinct from PAY's payphone and PBX's exchange
PRN,Printer,Endpoints,snmp,🖨️,,
CAM,CCTV camera,Endpoints,http,🎥,,
LCD,Digital signage / display,Endpoints,http,🖼️,,
TVS,TV display,Endpoints,http,📺,,
BPS,Badge programming station,Endpoints,http,🪪,,
VCU,Video conferencing unit,Endpoints,http,🎧,,
PAY,Payphone,Curveball / Novelty,none,☎️,,No AT&T logo or British red-phonebox glyph exists in Unicode — telephone receiver instead
MUS,Jukebox,Curveball / Novelty,none,💿,,No jukebox glyph exists in Unicode either — optical disc instead
VND,Vending machine,Curveball / Novelty,none,🍫,,
DON,Doughnut vending,Curveball / Novelty,http,🍩,,
COF,Coffee machine,Curveball / Novelty,http,🍵,,"Teacup-without-handle. Was ☕, changed 2026-07-13"
TEA,Tea/coffee machine,Curveball / Novelty,http,🫖,,
BUS,Tour bus,Curveball / Novelty,none,🚌,,
CAR,Car,Curveball / Novelty,none,🚗,,
TRK,Truck,Curveball / Novelty,none,🚚,,
JET,Jet,Curveball / Novelty,none,✈️,,The generic airport-signage aeroplane
PMP,Petrol pump,Curveball / Novelty,none,⛽,,
CLK,Embedded NTP clock,Curveball / Novelty,http,⏰,,Deliberately not the mantel-clock emoji — that's the Old Network box's own symbol
MIC,Microphone,Curveball / Novelty,none,🎤,,
RAD,Radio,Curveball / Novelty,none,📻,,
MOO,Moog synth,Curveball / Novelty,none,🎹,,"Same symbol as FCL — both ""a keyboard"""
FCL,Fairlight CMI,Curveball / Novelty,none,🎹,,Same symbol as MOO
AST,Atari ST,Curveball / Novelty,none,🕹️,,No Atari logo in Unicode — joystick as a non-trademarked stand-in
LIN,Drum machine,Curveball / Novelty,none,🥁,,
TTY,VT320 serial terminal,Curveball / Novelty,none,⌨️,,
ILO,Integrated Lights-Out (HP iLO),Network Infrastructure,snmp,🔧,,"Added 2026-07-26, Robert's explicit instruction -- kept as its own code, distinct from BMC's generic iDRAC/iLO/Redfish consolidation above (see BMC row). Same symbol as BMC/RAC."
IOT,IoT / miscellaneous embedded device,Endpoints,http,📟,,Added 2026-07-26 -- catch-all for embedded devices that don't fit an existing code
MID,MIDI sequencer / workstation,Curveball / Novelty,none,🎚️,,"Added 2026-07-26 -- distinct from NIX (""MIDI archive (*nix-adjacent)"", an archival Unix-like device, not a sequencer)"
OBS,Outside broadcast station,Curveball / Novelty,none,🎬,,Added 2026-07-26
SYN,"Synthesizer (e.g. Moog, Korg, Yamaha)",Curveball / Novelty,none,🎹,,"Added 2026-07-26 -- generic synth code, distinct from MOO (Moog specifically) and FCL (Fairlight CMI specifically). Same symbol as MOO/FCL -- all three ""a keyboard"""
